statistic	source	condition	score	p_value
norm_wmean	E2F5	t4_t3	-1.0609265363674902	0.52
norm_wmean	E2F5	t8_t4	-0.7625379871363627	0.76
norm_wmean	E2F6	t0.5_t0	3.469189434417247	0.02
norm_wmean	E2F6	t1_t0.5	-1.038200616478289	0.56
norm_wmean	E2F6	t2_t1	3.5692552719446713	0.02
norm_wmean	E2F6	t3_t2	1.038531932248195	0.62
norm_wmean	E2F6	t4_t3	-0.9200983804069042	0.68
norm_wmean	E2F6	t8_t4	-5.624855837278927	0.02
norm_wmean	E2F7	t0.5_t0	1.2078995158180799	0.72
norm_wmean	E2F7	t1_t0.5	-2.28596922752202	0.06
norm_wmean	E2F7	t2_t1	0.5460486205671631	0.040000000000000036
norm_wmean	E2F7	t3_t2	-0.28958086678702083	0.8400000000000001
norm_wmean	E2F7	t4_t3	0.5763772972680824	0.8200000000000001
norm_wmean	E2F7	t8_t4	1.0488884586152176	0.4
norm_wmean	EBF1	t0.5_t0	0.6256842558144693	0.41999999999999993
norm_wmean	EBF1	t1_t0.5	-1.1777686801042955	0.3
norm_wmean	EBF1	t2_t1	2.12067594560403	0.7
norm_wmean	EBF1	t3_t2	-0.7068346152251542	0.96
norm_wmean	EBF1	t4_t3	-0.4044089761144496	0.74
norm_wmean	EBF1	t8_t4	-2.870384934818503	0.38
norm_wmean	EGR1	t0.5_t0	12.28290297695781	0.02
norm_wmean	EGR1	t1_t0.5	0.9702938056738782	0.17999999999999994
norm_wmean	EGR1	t2_t1	6.858132877416937	0.5
norm_wmean	EGR1	t3_t2	0.4905040770136904	0.3400000000000001
norm_wmean	EGR1	t4_t3	-3.1570714457950055	0.02
norm_wmean	EGR1	t8_t4	-14.493583254532021	0.02
norm_wmean	ELF1	t0.5_t0	3.436611852246783	0.22
norm_wmean	ELF1	t1_t0.5	-0.7997566989991369	0.56
norm_wmean	ELF1	t2_t1	-1.503229352900901	0.14
norm_wmean	ELF1	t3_t2	-3.0758878026970256	0.02
