condition	type	feature	score
t4_t3	measurement	TCF4	-2.625320879004786
t3_t2	measurement	ETS1	-2.6188993491346864
t4_t3	measurement	KMT2A	-2.6011221667077953
t4_t3	measurement	NCOA3	-2.599081607614356
t8_t4	measurement	HBP1	2.595564833713351
t4_t3	measurement	BACH1	-2.590738692686584
t2_t1	measurement	PKNOX1	2.586440073127105
t4_t3	measurement	TCF7L2	-2.5860146977175344
t4_t3	measurement	FOXK2	-2.5799883787292304
t1_t0.5	measurement	NFIC	-2.5782062511029618
t1_t0.5	measurement	SATB1	-2.5778013780497857
t0.5_t0	measurement	ATF1	2.5769105110611976
t3_t2	measurement	SMAD4	-2.574918114125197
t8_t4	measurement	E2F2	2.5565608994896434
t0.5_t0	measurement	NR4A1	2.551819809682225
t2_t1	measurement	MEF2A	2.551786251926355
t0.5_t0	measurement	MYB	2.5460692087667143
t0.5_t0	measurement	HIC1	-2.5444375584178753
t0.5_t0	measurement	SMAD1	2.5398282533803873
t1_t0.5	measurement	FOXO4	-2.528435028196074
t3_t2	measurement	JUNB	-2.5256003679399903
t8_t4	measurement	TBP	-2.5223418573166234
t1_t0.5	measurement	CREM	2.5131327699214476
t1_t0.5	measurement	MAX	2.501168064566658
t2_t1	measurement	PAX6	2.4938960064505373
t3_t2	measurement	MYC	2.493626334343158
t8_t4	measurement	SPI1	-2.4868795799183308
t3_t2	measurement	SPIB	-2.482957093039849
t0.5_t0	measurement	NR1H2	2.4693463930892876
t2_t1	measurement	ARNTL	-2.466555766564027
t8_t4	measurement	HIC1	2.465787705433842
t1_t0.5	measurement	FOXA1	-2.464943340030204
t8_t4	measurement	TFAP4	-2.4627376175551037
t3_t2	measurement	AHR	-2.458497011715995
t4_t3	measurement	ELK1	-2.4548399728048915
t8_t4	measurement	NR2F6	-2.4525223670555363
t1_t0.5	measurement	JUNB	-2.4464180501878623
t8_t4	measurement	FOXA2	-2.4429311346717677
t1_t0.5	measurement	SP3	2.435315543951658
t3_t2	measurement	ELK1	-2.419782667004956
t2_t1	measurement	MEF2B	-2.4138403104374313
t8_t4	measurement	HSF1	-2.4137491119108425
t8_t4	measurement	TFDP1	2.411116689046621
t2_t1	measurement	FOSL2	-2.407999061827185
t1_t0.5	measurement	SMAD5	-2.4064409195026055
t0.5_t0	measurement	FLI1	2.4004230676147102
t8_t4	measurement	GLI2	-2.3978332964563314
t1_t0.5	measurement	REL	-2.3850246118998326
t8_t4	measurement	ETV4	-2.3742025808711
t2_t1	measurement	JUNB	-2.3585755411988187
t1_t0.5	measurement	KLF13	-2.357573794424388
t3_t2	measurement	FOSL1	-2.345609355310463
t0.5_t0	measurement	NEUROD1	2.340114777255059
t4_t3	measurement	MYOD1	2.3401032663050483
t1_t0.5	measurement	FOXK2	-2.333061992344268
t2_t1	measurement	RARB	2.3305702123896395
t0.5_t0	measurement	ATF7	-2.3202864665199834
t3_t2	measurement	VDR	-2.316370982211554
t1_t0.5	measurement	KMT2A	-2.316118762253159
t3_t2	measurement	HHEX	-2.314640719421046
t3_t2	measurement	NR1H2	-2.312850688803937
t4_t3	measurement	STAT1	-2.307270376680044
t3_t2	measurement	HSF1	2.3059990637041765
t0.5_t0	measurement	RUNX1	2.3023422954947446
t4_t3	measurement	HIC1	2.2921258162360614
t4_t3	measurement	GLI1	-2.2878924397144216
t1_t0.5	measurement	PRDM1	-2.2862493452084025
t1_t0.5	measurement	E2F7	-2.28596922752202
t2_t1	measurement	STAT5B	2.2850586370782815
t0.5_t0	measurement	MYC	2.279137076601241
t2_t1	measurement	KLF13	2.2773941910955813
t0.5_t0	measurement	NR5A2	2.2773465460725135
t4_t3	measurement	STAT5A	-2.265132777155269
t3_t2	measurement	ATF2	-2.2616205856333442
t8_t4	measurement	ARID3A	-2.259263099997875
t0.5_t0	measurement	TCF7	2.2555687543136873
t3_t2	measurement	NR3C1	-2.2524455844900166
t4_t3	measurement	KLF6	-2.248367329336342
t2_t1	measurement	STAT3	2.237747444802671
t4_t3	measurement	IRF3	2.2376800179163996
t3_t2	measurement	MEF2A	-2.234075913926533
t3_t2	measurement	GFI1B	-2.2335380251008354
t8_t4	measurement	RFX1	-2.2308322895827026
t1_t0.5	measurement	GATA2	-2.2297406675354536
t3_t2	measurement	ATF3	-2.2215880541281283
t8_t4	measurement	OTX2	-2.2205610427181526
t4_t3	measurement	MYB	-2.2191166447397137
t4_t3	measurement	ZHX1	-2.2125897139359503
t4_t3	measurement	TEAD1	-2.2092198827003395
t4_t3	measurement	FOXO1	-2.2030535434490863
t2_t1	measurement	OTX2	2.1988306627156597
t3_t2	measurement	NFIC	2.189499957410222
t3_t2	measurement	GABPA	-2.1748181698250835
t8_t4	measurement	CLOCK	-2.173758361193042
t8_t4	measurement	FOSL1	-2.1666683605834907
